allergen,ingredient_name,source_type,matched_rows,target_allergen_rows,non_target_rows,target_precision_pct,mentions_total,prevalence_pct,source_origin
Milk,Cultured Milk,expanded_manual,5889,4102,1787,69.66,6527,2.2560,manual_expansion_seed
Milk,dry Milk,expanded_parenthetical,7665,3617,4048,47.19,8268,2.9364,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,whey protein,expanded_parenthetical,6740,3443,3297,51.08,7778,2.5820,"Hydrolysates (casein, milk protein, whey, whey protein)"
Milk,Nonfat Dry Milk,expanded_manual,7090,3416,3674,48.18,7682,2.7161,manual_expansion_seed
Milk,isolate,expanded_parenthetical,6446,2936,3510,45.55,8681,2.4694,"Whey (all forms: whey protein concentrate, isolate, hydrolysate)"
Milk,milkfat,expanded_parenthetical,6157,2929,3228,47.57,6374,2.3587,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,s,expanded_parenthetical,5277,2822,2455,53.48,6130,2.0216,Butter ester(s)
Milk,whey protein concentrate,expanded_parenthetical,4514,2538,1976,56.23,4714,1.7293,"Whey (all forms: whey protein concentrate, isolate, hydrolysate)"
Milk,whole Milk,expanded_parenthetical,4847,2394,2453,49.39,5487,1.8568,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,milk protein,expanded_parenthetical,3637,2240,1397,61.59,4064,1.3933,"Hydrolysates (casein, milk protein, whey, whey protein)"
Milk,Lactose,existing,3648,1837,1811,50.36,4036,1.3975,Lactose
Milk,Casein,existing,2130,1774,356,83.29,2568,0.8160,Casein
