class,class_scope,canonical_id,canonical_name,source_type,alias_count,rows_matched,target_rows,target_precision_pct,mentions_total,source_origin
Soy,big9,soy__soybean_oil_cold_pressed,Soybean oil (cold pressed,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:135
Fish,big9,fish__pollock,Pollock,workbook_existing,2,2287,749,32.75,2372,Allergen-Ingredient Map:157
Fish,big9,fish__anchovy,Anchovy,workbook_existing,2,358,90,25.14,404,Allergen-Ingredient Map:140
Fish,big9,fish__sardine,Sardine,manual_seed,2,71,65,91.55,78,manual_seed
Fish,big9,fish__surimi,Surimi,workbook_existing,4,377,40,10.61,379,Allergen-Ingredient Map:161
Fish,big9,fish__fish_stock,Fish stock,workbook_existing,1,44,33,75.00,44,Allergen-Ingredient Map:147
Fish,big9,fish__fish_sauce,Fish sauce,workbook_existing,1,56,30,53.57,56,Allergen-Ingredient Map:146
Fish,big9,fish__haddock,Haddock,workbook_existing,2,112,29,25.89,114,Allergen-Ingredient Map:150
Fish,big9,fish__tilapia,Tilapia,workbook_existing,2,206,23,11.17,215,Allergen-Ingredient Map:163
Fish,big9,fish__fish_oil,Fish oil,workbook_existing,1,28,23,82.14,28,Allergen-Ingredient Map:145
Fish,big9,fish__mackerel,Mackerel,manual_seed,2,14,14,100.00,14,manual_seed
Fish,big9,fish__fish_gelatin,Fish gelatin,workbook_existing,1,26,9,34.62,26,Allergen-Ingredient Map:144
Fish,big9,fish__sole,Sole,workbook_existing,2,73,7,9.59,73,Allergen-Ingredient Map:160
Fish,big9,fish__flounder,Flounder,workbook_existing,2,137,6,4.38,138,Allergen-Ingredient Map:148
Fish,big9,fish__trout,Trout,workbook_existing,2,5,5,100.00,9,Allergen-Ingredient Map:164
Fish,big9,fish__fish_broth,Fish broth,workbook_existing,1,4,4,100.00,4,Allergen-Ingredient Map:147
Fish,big9,fish__swordfish,Swordfish,workbook_existing,2,4,4,100.00,4,Allergen-Ingredient Map:162
Fish,big9,fish__mahi_mahi,Mahi-mahi,workbook_existing,1,15,1,6.67,16,Allergen-Ingredient Map:153
Fish,big9,fish__pike,Pike,workbook_existing,2,1,1,100.00,1,Allergen-Ingredient Map:156
Fish,big9,fish__snapper,Snapper,workbook_existing,2,1,1,100.00,1,Allergen-Ingredient Map:159
Fish,big9,fish__catfish,Catfish,workbook_existing,2,10,0,0.00,10,Allergen-Ingredient Map:142
Fish,big9,fish__halibut,Halibut,workbook_existing,2,3,0,0.00,6,Allergen-Ingredient Map:151
Fish,big9,fish__bass,Bass,workbook_existing,1,1,0,0.00,1,Allergen-Ingredient Map:141
Fish,big9,fish__cod,Cod,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:143
Fish,big9,fish__grouper,Grouper,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:149
Fish,big9,fish__isinglass,Isinglass,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:152
Fish,big9,fish__omega_3_supplements,Omega-3 supplements,workbook_existing,3,0,0,0.00,0,Allergen-Ingredient Map:154
Fish,big9,fish__perch,Perch,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:155
Fish,big9,fish__salmon,Salmon,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:158
Fish,big9,fish__tuna,Tuna,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:165
Fish,big9,fish__worcestershire_sauce,Worcestershire sauce,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:166
Crustacean Shellfish,big9,shellfish__crab,Crab,workbook_existing,2,1073,657,61.23,1750,Allergen-Ingredient Map:168
Crustacean Shellfish,big9,shellfish__shrimp,Shrimp,workbook_existing,2,1375,524,38.11,1880,Allergen-Ingredient Map:177
Crustacean Shellfish,big9,shellfish__crab_meat,Crab Meat,manual_seed,3,737,385,52.24,914,manual_seed
Crustacean Shellfish,big9,shellfish__surimi,Surimi,workbook_existing,2,377,250,66.31,379,Allergen-Ingredient Map:182
Crustacean Shellfish,big9,shellfish__lobster,Lobster,workbook_existing,2,316,221,69.94,595,Allergen-Ingredient Map:172
Crustacean Shellfish,big9,shellfish__molluscan_shellfish,Molluscan shellfish,workbook_existing,12,393,111,28.24,874,Allergen-Ingredient Map:183
Crustacean Shellfish,big9,shellfish__lobster_extract,Lobster Extract,manual_seed,1,12,10,83.33,20,manual_seed
Crustacean Shellfish,big9,shellfish__prawns,Prawns,workbook_existing,2,7,7,100.00,9,Allergen-Ingredient Map:174
Crustacean Shellfish,big9,shellfish__extract,Extract,workbook_existing,4,2,2,100.00,2,Allergen-Ingredient Map:176
Crustacean Shellfish,big9,shellfish__crawfish,Crawfish,workbook_existing,2,16,1,6.25,16,Allergen-Ingredient Map:169
Crustacean Shellfish,big9,shellfish__crevette,Crevette,workbook_existing,2,1,1,100.00,2,Allergen-Ingredient Map:177
Crustacean Shellfish,big9,shellfish__glucosamine,Glucosamine,workbook_existing,2,1,1,100.00,1,Allergen-Ingredient Map:181
Crustacean Shellfish,big9,shellfish__scampi,Scampi,workbook_existing,2,11,0,0.00,11,Allergen-Ingredient Map:175
Crustacean Shellfish,big9,shellfish__barnacle,Barnacle,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:167
Crustacean Shellfish,big9,shellfish__bouillabaisse,Bouillabaisse,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:179
Crustacean Shellfish,big9,shellfish__crawdad,Crawdad,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:169
