class,class_scope,canonical_id,alias,alias_norm,source_type,source_status,effective_status,active,rows_matched,target_rows,other_labeled_rows,target_precision_pct,target_exclusivity_pct,mentions_total,source_origin,decision_reason
Egg,big9,egg__egg,Egg yolk,egg yolk,workbook_parenthetical,approved,demoted_auto,no,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:32,"Auto-demoted: support 2456, precision 0.239, exclusivity 0.239."
Egg,big9,egg__fat_substitutes,egg-based,egg based,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:37,
Egg,big9,egg__eggnog,eggnogs,eggnogs,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:100,
Egg,big9,egg__fat_substitutes,Fat substitutes,fat substitutes,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:37,
Egg,big9,egg__fat_substitutes,Fat substitutes egg-based,fat substitutes egg based,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:37,
Egg,big9,egg__globulin,Globulin,globulin,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:38,
Egg,big9,egg__globulin,globulins,globulins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:105,
Egg,big9,egg__egg,lecithin,lecithin,workbook_parenthetical,approved,demoted_auto,no,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:32,"Auto-demoted: support 29685, precision 0.292, exclusivity 0.292."
Egg,big9,egg__livetin,Livetin,livetin,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:39,
Egg,big9,egg__livetin,livetins,livetins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:106,
Egg,big9,egg__lysozyme,lysozymes,lysozymes,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:107,
Egg,big9,egg__mayonnaise,mayonnaises,mayonnaises,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:108,
Egg,big9,egg__meringue_powder,Meringue powder,meringue powder,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:42,
Egg,big9,egg__meringue,meringues,meringues,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:110,
Egg,big9,egg__ovalbumin,Ovalbumin,ovalbumin,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:43,
Egg,big9,egg__ovalbumin,ovalbumins,ovalbumins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:112,
Egg,big9,egg__ovoglobulin,Ovoglobulin,ovoglobulin,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:44,
Egg,big9,egg__ovoglobulin,ovoglobulins,ovoglobulins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:113,
Egg,big9,egg__ovomucin,Ovomucin,ovomucin,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:45,
Egg,big9,egg__ovomucin,ovomucins,ovomucins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:114,
Egg,big9,egg__ovomucoid,Ovomucoid,ovomucoid,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:45,
Egg,big9,egg__ovomucoid,ovomucoids,ovomucoids,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:115,
Egg,big9,egg__ovotransferrin,Ovotransferrin,ovotransferrin,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:46,
Egg,big9,egg__ovotransferrin,ovotransferrins,ovotransferrins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:116,
Egg,big9,egg__ovovitelia,Ovovitelia,ovovitelia,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:47,
Egg,big9,egg__ovovitelia,ovovitelias,ovovitelias,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:118,
Egg,big9,egg__ovovitellin,Ovovitellin,ovovitellin,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:47,
Egg,big9,egg__ovovitellin,ovovitellins,ovovitellins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:117,
Egg,big9,egg__egg,powdered,powdered,workbook_parenthetical,approved,demoted_auto,no,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:32,"Auto-demoted: support 3887, precision 0.256, exclusivity 0.256."
Egg,big9,egg__egg,powdereds,powdereds,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:96,
